"PERSON_UUID","FULLNAME","IDENTIFIER","ORG_NAME","ROLE_CODE","ACTIVITY_CODE"
"555079469105","KWGPONE GONE KW-GPONE","P86624","TRINITY MEDICAL CENTRE","R0260","B1101,B1102,B1103,B1107,B1120,B1130,B1115"
"555079470108","KWGPTWO GTWO KW-GPTWO","P86624","TRINITY MEDICAL CENTRE","R0260","B1101,B1102,B1130,B1120,B1115,B1107,B1103"
"555079471109","KWGPTHREE GTHREE KW-GPTHREE","P86624","TRINITY MEDICAL CENTRE","R0260","B1101,B1102,B1103,B1130,B1120,B1115,B1107"
"555079472100","KWGPFOUR GFOUR KW-GPFOUR","P86624","TRINITY MEDICAL CENTRE","R0260","B1101,B1103,B1102,B1130,B1120,B1115,B1107"
"555079478106","KWGPFIVE GFIVE KW-GPFIVE","P86624","TRINITY MEDICAL CENTRE","R0260","B1101,B1103,B1107,B1115,B1130,B1120,B1102"
"555079474102","KWGPSIX GSIX KW-GPSIX","P86609","LOWER PLACE SURGERY","R0260","B1101,B1102,B1107,B1130,B1120,B1115,B1103"
"555079475103","KWGPSEVEN GSEVEN KW-GPSEVEN","P86609","LOWER PLACE SURGERY","R0260","B1101,B1130,B1120,B1115,B1107,B1103,B1102"
"555079476104","KWGPEIGHT GEIGHT KW-GPEIGHT","P86609","LOWER PLACE SURGERY","R0260","B1101,B1102,B1107,B1120,B1130,B1115,B1103"
"555079477105","KWGPNINE GNINE KW-GPNINE","P86609","LOWER PLACE SURGERY","R0260","B1101,B1102,B1103,B1115,B1130,B1120,B1107"
"555079473101","KWGPTEN GTEN KW-GPTEN","P86609","LOWER PLACE SURGERY","R0260","B1101,B1102,B1107,B1103,B1115,B1130,B1120"
"123456789101","X Y","E87021","ITK TEST PRACTICE","R0260","B1101,B1102,B1107,B1103,B1115,B1130,B1120"
