NHS_NUMBER,DATE_OF_BIRTH,FAMILY_NAME,GIVEN_NAME,OTHER_GIVEN_NAME,TITLE,GENDER,ADDR1,ADDR2,ADDR3,TOWN,POSTCODE,PRIMARY_CARE_CODE,ADMIN_NOTES
"9691375087","02/02/1931","BRYDEN","Stefan","","MR","Male","","76 WESTBOURNE TERRACE","","LONDON","W2 6QA","E87021","30001 : Patient known here. (e.g. Patient is registered here)"
"9691375354","12/03/2019","KNIGHT","Jordan","Justin","MR","Male","APARTMENT 2","10 WILD STREET","","LONDON","WC2B 4RL","E87021","30001 : Patient known here. (e.g. Patient is registered here)"
"9691375621","14/06/1988","GRACEY","Nigel","Sidney","MR","Male","FLAT 1","7 HIDE PLACE","","LONDON","SW1P 4HD","E87021","30001 : Patient known here. (e.g. Patient is registered here)"
"9691375710","26/04/1965","LUMB","Antony","Shaun","MR","Male","DUNCANNON HOUSE","26 LINDSAY SQUARE","","LONDON","SW1V 2HT","E87021","30001 : Patient known here. (e.g. Patient is registered here)"
"9691375907","06/07/2001","DRAKE","Helen","Betsy","MS","Female","JOHNSON HOUSE","CUNDY STREET","","LONDON","SW1W 9JY","E87021","30001 : Patient known here. (e.g. Patient is registered here)"
"9691375982","10/04/1991","EGAN","Nancie","Milly","MS","Female","CRAWFORD BUILDINGS","HOMER STREET","","LONDON","W1H 4NZ","E87021","30001 : Patient known here. (e.g. Patient is registered here)"
"9691375095","15/10/1940","BUSH","Leo","","MR","Male","FLATS","3 NOTTINGHAM STREET","","LONDON","W1U 5EG","E87021","30002 : Patient not known here. (aka ‘patient record not present in system’)"
"9691375478","04/04/2020","MURPHY","Mara","Fiona","MS","Female","LUKE HOUSE","3 ABBEY ORCHARD STREET","","LONDON","SW1P 2JJ","E87021","30002 : Patient not known here. (aka ‘patient record not present in system’)"
"9691375648","15/03/1986","CONVEY","Evan","Jonas","MR","Male","","19 BINGHAM PLACE","","LONDON","W1U 5AZ","E87021","30002 : Patient not known here. (aka ‘patient record not present in system’)"
"9691375729","14/03/1972","STRAIN","Jeff","","MR","Male","","2 BALVAIRD PLACE","","LONDON","SW1V 3SN","E87021","30002 : Patient not known here. (aka ‘patient record not present in system’)"
"9691375915","07/09/1999","LEASK","Phoebe","Connie","MS","Female","FLAT 2","1 THIRD AVENUE","","LONDON","W10 4RQ","E87021","30002 : Patient not known here. (aka ‘patient record not present in system’)"
"9691375990","03/11/1966","DAVITT","Betsy","Emma","MRS","Female","CHILTERN COURT","BAKER STREET","","LONDON","NW1 5SJ","E87021","30002 : Patient not known here. (aka ‘patient record not present in system’)"
"9691375192","17/03/1941","GROVES","Nadia","","MS","Female","CHURCHFIELD HOUSE","HALL PLACE","","LONDON","W2 1LY","E87021","30003 : Patient no longer at this clinical setting"
